date,mtime,manuf_pmi,nonmanuf_pmi,jobless_cl4w,capacity_util,us_sov_slope,cred_spr_aaabaa,spr_ig_sov_10y,vix,m2_yy,us_sov_10yreal,wage_trend_yy,breakeven_infl_10y,oil_p
31/12/1999,240,57.8,56.9,278.25,,0.226,0.64,0.0173,24.64,,,,2.1138,25.6
31/01/2000,241,56.7,56.6,289,,0.074,0.55,169.5,24.95,,,,2.3663,27.64
29/02/2000,242,55.8,56.2,293.75,82.0516,-0.112,0.61,192.1,23.37,,4.67,,2.1226,30.43
31/03/2000,243,54.9,57.4,269.75,82.0127,-0.475,0.69,232.6,24.11,,4.25,,2.0041,26.9
28/04/2000,244,54.7,58,273,82.0292,-0.464,0.76,235.8,26.2,,3.56,,2.246,25.74
31/05/2000,245,53.2,57.7,282.25,82.3411,-0.4,0.91,253.8,23.65,,3.89,,2.1023,29.01
30/06/2000,246,51.4,56.9,288.75,82.2055,-0.331,0.81,239.9,19.54,,3.84,,1.9648,32.5
31/07/2000,247,52.5,55.3,298.5,82.0119,-0.257,0.7,227.9,20.74,,3.54,,2.0197,27.43
31/08/2000,248,49.9,57.6,312.75,81.6213,-0.438,0.71,251.5,16.84,,3.54,,1.7291,33.12
29/09/2000,249,49.7,56.7,300,81.1192,-0.177,0.73,253.8,20.57,,3.13,,1.8311,30.84
31/10/2000,250,48.7,56.7,301,81.1697,-0.163,0.79,257.9,23.63,,3.21,,1.9008,32.7
30/11/2000,251,48.5,56.2,334.25,80.6702,-0.145,0.82,265.2,29.65,,3.23,,1.6728,33.82
29/12/2000,252,43.9,54,348,80.436,0.016,0.81,288.8,26.85,,2.89,,1.3802,26.8
31/01/2001,253,42.3,51.6,340,79.9609,0.542,0.78,269.6,22.02,,2.53,,1.6059,28.66
28/02/2001,254,42.1,51.3,371.25,79.199,0.506,0.77,290.4,28.35,0.066189548,2.49,0.102040816,1.5541,27.39
30/03/2001,255,43.1,50.7,388,78.4463,0.737,0.87,305.3,28.64,0.071365996,2.17,0.104166667,1.6248,26.29
30/04/2001,256,42.7,48.3,396.75,78.0233,1.062,0.87,274.2,25.48,0.076653647,2.26,0.104166667,2.0236,28.46
31/05/2001,257,41.3,49,394.5,77.5674,1.193,0.78,269.9,22.64,0.077431401,2.74,0.081632653,2.1109,28.37
29/06/2001,258,43.2,50.1,395,76.8776,1.17,0.79,265.8,19.06,0.079565053,2.84,0.040816327,1.9612,26.25
31/07/2001,259,43.5,48.1,398,76.2139,1.257,0.84,279.6,21.62,0.083982902,2.7,0.04,1.7219,26.35
31/08/2001,260,46.3,46.9,398.25,75.5834,1.203,0.83,291.8,24.92,0.086263048,2.35,0,1.5325,27.2
28/09/2001,261,46.2,49.5,443.25,75.3028,1.737,0.86,343.2,31.93,0.086963741,2.14,0.019607843,1.447,23.43
31/10/2001,262,40.8,44.8,480.75,74.8378,1.809,0.88,344.8,33.56,0.101858338,1.95,-0.038461538,1.2419,21.18
30/11/2001,263,44.1,48.2,453.75,74.3471,1.911,0.84,312.8,23.84,0.095919667,1.61,-0.038461538,1.3413,19.44
31/12/2001,264,45.3,49.7,404.75,73.8287,2.025,1.28,286.9,23.8,0.102405442,1.97,-0.074074074,1.5053,19.84
31/01/2002,265,47.5,48.9,408.5,73.7034,1.874,1.32,288.7,21.09,0.103203931,2.32,-0.074074074,1.5994,19.48
28/02/2002,266,50.7,52.7,399,74.0367,1.816,1.38,298.3,21.59,0.096085052,2.47,-0.092592593,1.6518,21.74
29/03/2002,267,52.4,52.8,421.25,73.8997,1.685,1.3,283,17.4,0.093576115,2.27,-0.113207547,2.0824,26.31
30/04/2002,268,52.4,53.5,429.25,74.4,1.8647,1.27,286.53,21.91,0.083459847,2.97,-0.132075472,1.9759,27.29
31/05/2002,269,53.1,54.8,401.25,74.6213,1.8499,1.34,301.73,19.98,0.07001694,2.55,-0.188679245,1.9881,25.31
28/06/2002,270,53.6,52.5,389.5,74.8665,1.9861,1.32,319.35,25.4,0.075727172,2.51,-0.137254902,1.729,26.86
31/07/2002,271,50.2,50.4,386,75.5239,2.2249,1.37,330.12,32.03,0.072179695,2.54,-0.192307692,1.7072,27.02
30/08/2002,272,50.3,50.9,395,75.3046,1.9919,1.21,331.91,32.64,0.074185117,2.26,-0.196078431,1.7309,28.98
30/09/2002,273,50.5,52.3,409.5,75.2919,1.9109,1.25,379.58,39.69,0.075327949,1.78,-0.230769231,1.4165,30.45
31/10/2002,274,49,51.4,407.5,75.3866,2.2228,1.41,385.75,31.14,0.057552074,1.35,-0.22,1.4979,27.22
29/11/2002,275,48.5,52.9,389,75.1601,2.1489,1.31,339.48,27.5,0.068168191,1.65,-0.24,1.6559,26.89
31/12/2002,276,51.6,52.3,414.25,75.5636,2.2178,1.24,349.4,28.62,0.068823879,2.24,-0.3,1.5572,31.2
31/01/2003,277,51.3,53.3,400,75.2121,2.2734,1.18,319.75,31.17,0.062298702,1.9,-0.28,1.8165,33.51
28/02/2003,278,48.8,52.6,416.75,75.8117,2.1817,1.11,323.03,29.63,0.064284274,2.05,-0.244897959,1.9714,36.6
31/03/2003,279,46.3,49.1,425.25,75.9469,2.3144,1.06,307.4,29.15,0.065179728,1.95,-0.170212766,1.8425,31.04
30/04/2003,280,46.1,50.1,436.25,75.8002,2.3543,1.11,281.41,21.21,0.066658174,2.11,-0.195652174,1.7385,25.8
