mtime,date,A,AA,AAC,AAL,AAN,AAOI,AAON,AAP,AAPL,AAT,AAWW,AAXN,ABAX,ABBV,ABC,ABCB,ABCD,ABCO,ABEO,ABG,ABM,ABMD,ABT,ABTX,AC,ACAD,ACBI,ACC,ACCO,ACET,ACGL,ACHC,ACHN,ACIA,ACIW,ACLS,ACM,ACN,ACNB,ACOR,ACRE,ACRS,ACTA,ACTG,ACXM,ADBE,ADC,ADES,ADI,ADM,ADMS,ADNT,ADP,ADRO,ADS,ADSK,ADSW,ADTN,ADUS,ADXS,AE,AEE,AEGN,AEIS,AEL,AEO,AEP,AERI,AES,AET,AF,AFAM,AFG,AFH,AFI,AFL,AFSI,AGCO,AGEN,AGFS,AGII,AGIO,AGM,AGN,AGNC,AGO,AGR,AGX,AGYS,AHH,AHL,AHP,AHT,AI,AIG,AIMC,AIMT,AIN,AIR,AIT,AIV,AIZ,AJG,AJRD,AJX,AKAM,AKAO,AKBA,AKR,AKRX,AKS,AKTS,AL,ALB,ALCO,ALDR,ALE,ALEX,ALG,ALGN,ALGT,ALJ,ALK,ALKS,ALL,ALLE,ALLY,ALNY,ALOG,ALR,ALRM,ALSN,ALX,ALXN,AMAG,AMAT,AMBA,AMBC,AMBR,AMC,AMCX,AMD,AME,AMED,AMG,AMGN,AMH,AMKR,AMN,AMNB,AMOT,AMP,AMPH,AMRC,AMRI,AMSF,AMSWA,AMT,AMTD,AMWD,AMZN,AN,ANAB,ANAT,ANCX,ANDE,ANET,ANF,ANGI,ANGO,ANH,ANIK,ANIP,ANSS,ANTM,AOBC,AON,AOS,AOSL,AP,APA,APAM,APC,APD,APEI,APH,APLE,APOG,APPF,APTI,APTS,AQMS,AR,ARA,ARAY,ARC,ARCB,ARCH,ARD,ARDX,ARE,AREX,ARI,ARII,ARMK,ARNA,ARNC,AROC,AROW,ARR,ARRS,ARRY,ARTNA,ARW,ASB,ASBB,ASC,ASCMA,ASGN,ASH,ASIX,ASMB,ASNA,ASPS,AST,ASTE,AT,ATEN,ATGE,ATH,ATHN,ATHX,ATI,ATKR,ATLO,ATNI,ATO,ATR,ATRA,ATRC,ATRI,ATRO,ATRS,ATSG,ATU,ATVI,ATW,AVA,AVAV,AVB,AVD,AVGO,AVHI,AVID,AVT,AVX,AVXL,AVXS,AVY,AWH,AWI,AWK,AWR,AXAS,AXDX,AXE,AXGN,AXL,AXON,AXP,AXS,AXTA,AXTI,AYI,AYR,AYX,AZO,AZPN,AZZ,X,XBIT,XBKS,XCRA,XEC,XEL,XENT,XHR,XL,XLNX,XLRN,XNCR,XOG,XOM,XON,XONE,XOXO,XPER,XPO,XRAY,XRX,XTLY,XYL,Y,YELP,YEXT,YORW,YRCW,YUM,YUMC,Z,ZAGG,ZAYO,ZBH,ZBRA,ZEN,ZEUS,ZG,ZGNX,ZION,ZIOP,ZIXI,ZNGA,ZOES,ZTS,ZUMZ,ZYNE
241,31/01/2000,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,30/04/2000,2.1112,66.6239,,90.5964,,,36.7215,,7.1174,,,,25.4926,,64.4028,85.4205,,,0.0191,,21.1799,0.2134,20.5514,,,,,,,,0,,,,5.2607,0,,,70.6004,,,,19.5564,0,56.7589,0,144.0212,,1.3985,79.5334,,,3.3503,,,0,,10.1956,,,24.2291,86.9027,80.4105,77.3985,,0,182.7017,,217.1871,,840.1555,76.1921,46.8184,,,26.3639,,73.7215,2.3266,,18.8257,,2754.0029,11.0896,,,92.7143,16.9581,82.608,,,,,,145.7324,,,155.118,61.4457,37.4729,121.3827,,0,109.1954,,10.1157,,,137.0569,101.5367,110.917,,,25.1884,48.9097,,90.0489,,21.743,,,,44.4559,126.6371,19.375,,955.876,,2.5008,,,,2411.4211,188.7686,,11.2493,,,,,,63.7563,128.943,,45.1926,9.2615,,142.4739,,148.9831,13.6729,,,,0.2632,,3.2192,168.0226,350.8063,25.7904,8404.3748,89.3806,,0.0024,,146.9534,,0,,,,0,,0,,,56.0833,77.623,,9.3025,76.8092,,99.3491,129.7755,,,,109.6733,,,,,,,,,82.6609,534.0372,,,140.1065,,,,,8.5682,,,181.5188,,45.1395,,147.8533,127.1981,287.9556,,,,0,127.0964,,,0,,,63.1929,,,0,,,,52.8088,,,9.7501,136.8349,65.2474,,,,75.5628,,,98.7343,,21.8428,93.5285,,68.9134,76.9449,,68.9814,9.0546,95.8692,2.8409,,,96.3478,,,,126.3219,1211.1454,0,132.4993,18.8771,239.2014,,281.6423,,,64.1914,,,,106.0964,52.8966,91.5196,40.5036,,,8.4604,,194.1113,,,,0,,,,21.8507,,,,,,29.3423,347.4722,,,20.1928,,,108.5433,60.7867,,,,,,,10.3164,,68.7611,,,295.6363,,0,,,,,
247,31/07/2000,2.6316,65.8087,,84.1111,,,45.3478,,7.1839,,,,29.6805,,64.4028,104.1788,,,81.8777,,14.3956,0.2058,19.5262,,,,,,,,0,,,,8.9979,3.1201,,,92.4849,,,,19.5634,0,60.384,0,175.3719,,1.5487,75.0313,,,3.2577,,,0,,10.6046,,,22.9821,81.0487,82.4115,67.1467,23.4622,0,182.7017,,238.8609,,774.7993,56.7243,40.1054,,,22.271,,75.1549,2.2207,,18.5252,,2919.5346,33.1758,,,154.6996,15.4582,88.7828,,,,,,145.355,,,169.458,67.3592,39.7776,125.195,,0,103.6458,,11.1667,,,140.2241,97.4269,110.2131,,,20.2842,40.1781,,95.5688,,16.3398,,,,56.3812,130.5924,18.8953,,940.3286,,2.3813,,,,4140.7327,201.7548,0,10.7057,,,,,,44.6882,147.4077,,35.5316,8.1535,,135.6635,,82.9339,5.3134,,,,0,,2.921,200.6069,268.2785,26.0376,8404.3748,76.0192,,0.0081,,195.0087,,0,,,,0,,0,,,56.4732,71.7311,,9.2481,56.1378,,64.4532,103.6843,,,,103.0636,,,,,,,,,75.3839,542.5742,,,127.005,,,,,1.0584,,,128.5219,,50.2348,,149.8882,130.5408,291.619,,,,0,113.2824,,,0,,,57.3881,,,0,,,,56.9924,,,8.6478,160.7301,69.7726,,,20.1863,70.4394,,,98.7343,,21.0811,106.8284,,68.2733,73.7765,,56.344,9.9812,105.1488,2.1896,,,93.4033,,,,93.0962,3562.4882,0,138.0558,18.3672,222.3465,,304.1322,,,18.9831,,,,125.979,49.2,80.5042,47.7574,,,7.6861,,150.2225,,,,0,,,,20.9085,,,7.5733,,,25.8984,367.9148,,,21.2001,,,108.3556,58.2938,,,,,,,0.4921,,67.1371,,,259.9295,,0,,,,,
250,31/10/2000,2.0893,62.8711,,87.3746,,,37.0501,,7.3046,,,,26.1127,,214.749,71.9141,,,90.176,,16.6181,0.2137,18.1524,,,,,,,,0,,,,14.834,0,,,81.005,,,,21.5035,0,59.4151,0,182.1861,,53.3349,75.1446,,,2.5436,,,0,,11.5052,,,26.8544,87.1053,69.3362,35.1465,26.7622,0,176.4768,,228.8358,,682.1718,113.911,37.9252,,,22.9868,,72.1864,4.2655,,18.1103,,2238.1732,34.636,,,158.5988,15.3336,86.4412,,,,,,152.1063,,,147.7113,71.4555,39.1309,147.7274,,0,102.1505,,12.5396,,,120.2362,132.9568,109.9674,,,17.5306,56.6827,,127.3109,,27.7975,,,,78.3834,138.8996,18.3012,,949.9377,,2.2258,,,,2078.4853,159.6096,0,9.5635,,,,,,40.9104,128.6211,,29.1594,7.4794,,128.1419,,75.3576,4.282,,,,0.0547,,6.9478,193.9436,451.2707,27.9566,8404.3748,86.1731,,0,,178.7535,,0,,,,0,23.5294,0,,,49.7168,73.0385,,10.2544,59.0804,,58.7091,97.9315,,2491.4339,,92.1395,,,,,,,,,69.0003,528.5495,,,135.1256,,,,,0.9692,,,158.3256,,50.2348,,162.806,185.8621,280.8542,,,,0,107.4762,,,0,,,61.771,,,0,,,,52.3287,,40.6217,4.0126,95.2514,65.6043,,,16.8128,55.6362,,,98.7343,,17.6758,108.5188,,69.4193,75.8775,,56.5849,9.7563,140.7002,2.2528,,,102.684,,,,114.151,4783.1427,0,81.4381,35.0452,219.6505,,334.3812,,,18.4335,,,,157.2112,49.0109,76.1581,112.7768,,,8.4336,,150.0694,,,,0,,,,18.1667,,,9.0337,0,,21.0111,367.9148,,,19.599,,,109.1773,44.682,,,,,,,0.199,,54.442,,,260.6515,,0,,,,,
253,31/01/2001,10.0343,55.4763,,90.8752,,,41.6776,,8.3782,,,,24.7499,,82.759,59.1813,,,97.4152,297.1995,11.8386,0.6115,86.9584,,,,,,,,0,,,,9.5656,0,,17.4878,72.1836,,,,68.4113,0,64.9208,0,182.237,,48.0391,75.7523,,,2.4412,,117.6172,0,,11.6798,,,25.8073,90.2747,55.6328,34.4988,25.8342,7.9384,171.3133,,246.8984,,641.0819,135.9565,36.0264,,,19.8352,,86.9647,4.0674,,15.0655,,2366.1621,32.8433,,,149.563,16.7834,78.5782,,,,,,144.7934,,,153.695,66.6264,36.2135,127.3026,,0,210.3774,,154.0908,,,119.6433,174.3956,111.361,,,15.4864,48.7337,,131.1637,,39.5083,1.2114,,,77.7724,150.1193,23.8429,,936.4438,,2.104,,,,811.0711,43.9776,0,9.6465,,,,,,48.1132,121.0993,1517.7819,27.8264,6.929,,148.9956,175.537,71.1695,4.426,,,,0.5697,,6.3409,195.6025,281.0562,25.1432,8404.3748,82.2107,,0.0367,,232.1227,,0,,,,0,23.5294,0,,,44.244,67.7778,,9.352,68.1571,,65.892,100.6484,,1610.4503,,70.492,,,,,,,,,61.4904,347.298,,,146.5817,,,,,0.8771,,,187.675,,49.0608,,178.9886,167.1082,319.6117,,,,0,106.9479,,,0,,,65.3104,,,0,,,,54.573,,24.5571,3.4311,72.251,65.4097,,,15.7191,50.9072,,,98.7343,,17.2121,108.1905,,71.0657,96.2319,,55.7003,10.664,123.7885,1.7206,,,99.8913,,,,119.3178,4783.1427,0,75.6222,44.617,243.6738,,289.4817,,,19.0387,,,,173.0129,47.4841,62.9123,104,,,6.8577,,155.0701,,,,0,,,,17.847,,,9.7949,0,,50.5837,358.9833,,,13.9586,,,109.1773,47.0079,,,,,,89.6226,0.1586,,53.0018,,,177.6805,,0,,,,,
256,30/04/2001,13.7642,51.208,,115.4303,,,33.7581,,8.4805,,,28.3387,20.2917,,159.0703,70.2818,,,109.3333,299.4313,12.8512,0.075,88.2505,,,,,,,,0,,,,7.6722,0,,17.4878,39.7268,,,,158.6496,0,90.3284,0,182.681,,45.9191,72.7913,,,2.3706,,53.0368,0,,11.5937,,,26.7524,101.2388,52.8804,34.9371,28.0946,6.8836,181.7634,,249.3735,20.7335,618.3386,119.6045,37.3313,,,24.9448,,88.4865,2.3792,,15.0318,,2746.3703,30.2579,,,161.5642,18.534,67.4125,,,,,,151.7279,,,135.8069,56.9172,36.4326,130.7485,,0,230.5,,257.2483,,,111.1062,226.0073,114.3195,,,18.9734,45.7214,,108.166,,39.8371,1.2876,,,83.2355,156.3448,23.4832,,892.021,,2.1352,,,,990.6965,46.3659,0,8.8231,,,,,,25.6505,130.4048,1517.7819,51.11,6.4353,,161.8014,178.6825,124.8685,3.9991,,,,2.8168,,6.3409,198.3358,233.6928,17.292,8404.3748,72.7796,,6.6885,,150.4188,,0,,,,0,23.5294,0,,,45.1389,61.8144,,9.3956,60.7769,,59.954,92.92,,1156.9925,,68.6009,,,,,,,,,58.1345,131.9705,,,149.2613,,,,,0.4446,,,188.6898,,46.7341,,191.0536,149.7833,331.3164,,,,0,91.3083,,,0,,,61.796,,,0,,,,56.1263,,27.6067,3.0403,140.0587,62.4725,,,11.8684,47.432,,,98.7343,,16.8021,125.951,,78.9182,80.361,,54.2883,11.9171,93.5581,1.6667,,,108.8139,,,,121.75,4783.1427,0,66.0182,14.7576,232.8275,28.3387,312.1197,,,16.3725,,,,156.5487,45.1027,58.1441,115.3153,,0,7.4804,,181.5499,,,,0,,,,15.3192,,,13.0617,0,,60.243,347.4156,,,14.3981,,,109.1773,49.4543,,,,,,63.0938,0.1668,,86.6321,,,162.3281,,0,,,,,
259,31/07/2001,13.7642,53.1077,,142.4169,,,19.4464,309.3343,8.2167,,,17.6246,23.7164,,66.0327,100.8991,,,132.7508,282.6932,3.9525,0.0812,83.6618,,,,,,,,0,,,,82.4568,0,,27.7866,54.9658,,,,749.6874,0,104.299,0,181.4452,,44.8544,68.9446,,,2.325,,52.4008,0,,11.5576,,,34.3057,92.2746,52.5743,90.8618,32.6978,6.2176,156.2987,,296.7185,17.9886,643.8983,101.2419,42.3332,,,23.1516,,86.0782,7.4209,,16.4936,,2440.5043,30.7742,,,125.9755,14.2789,60.3659,,,,,,154.1453,,,104.6961,75.0605,36.3936,137.6546,,0,219.6347,,430.6621,,,119.9041,230.1576,117.2925,,,30.9589,42.6243,,104.8992,,39.1353,1.3768,,,105.4271,171.0715,19.2983,,953.6851,,2.0671,28.8044,,,938.7804,47.5869,0,8.6026,,,,,,27.2257,136.8579,2495.4148,50.0111,6.3232,,169.5218,163.1014,63.6922,0,,,,2.6847,,4.07,191.9482,100.8112,15.8688,8404.3748,65.5099,,6.7953,,211.8972,,0,,,,0,23.5294,0,39.8547,,41.3986,59.8524,,9.3129,47.7697,,63.7691,76.8565,,682.4731,,53.8974,,,,,,,,,45.8825,136.4678,,,168.0615,,,,,0.3756,,,173.5925,,27.6833,,196.9843,146.5687,361.6986,,,,0,84.0521,,,0,,,73.7169,,,13.3913,,,,58.3184,,23.0107,5.4817,156.6017,55.3237,,,4.4916,45.6872,,,98.7343,,24.2291,145.7661,,84.9182,47.6686,,51.9869,13.1437,80.9141,1.7225,,,104.9853,,,,115.9814,4783.1427,0,54.8439,37.609,181.0109,17.6246,298.2872,,,18.1423,,,,141.4666,46.288,51.2768,132.7238,,0,6.5473,,188.0716,,,,0,,,,15.0803,,,13.4597,0,,57.7732,361.3396,,,15.0102,,,109.1773,48.0791,,,,,,1737.4468,0.1603,,82.5679,,,170.435,,0,,,,,
262,31/10/2001,0,55.6133,,197.3944,,,3.7349,309.3343,8.0867,,,23.8517,20.4524,,62.3065,128.2646,,0,155.3757,284.476,3.2724,0.0814,80.4557,,,,,,,,0,,,,3.6729,0,,25.3434,82.1479,,,,1111.5416,0,91.1755,0,184.4196,,42.6472,70.2071,,,1.9497,,61.3818,0,,11.4252,,,31.8272,100.7525,49.2967,96.9139,49.361,5.3976,142.9357,,234.5843,17.1987,636.8259,162.7884,45.0416,,,22.2488,,77.2705,8.029,,16.2094,,2381.5839,28.9348,,,132.3011,13.2009,39.6832,,,,,,165.6648,,,88.9861,91.7533,38.5275,137.6546,,37.2436,69.0323,,1743.7622,,,120.0506,220.9232,135.7302,,,28.6894,52.677,,99.1221,,32.2856,1.4718,,,105.1803,196.4066,23.9649,,942.3214,,3.1992,145.0872,,,1144.2315,48.523,0,7.4883,,,,,,28.2596,140.5228,765.9262,78.2991,6.1891,,180.1738,0.6043,61.4355,0,,,,2.524,,3.2041,206.2732,160.0695,14.7647,8404.3748,66.7703,,6.9572,,194.1243,,0,,,,0,0,0,54.7913,,77.0372,90.0546,,9.3141,46.1881,,79.3401,73.0548,,693.061,,48.8772,,,,,,,,,40.3652,137.026,,,172.3077,,,,,0.3344,,,172.2821,,27.6833,,193.1476,140.3525,350.0738,,,,0,82,,,0,,,65.582,,,7.8796,,,,61.628,,12.386,7.2474,151.753,53.2476,,,43.7141,41.7152,2.6376,,98.7343,,31.2752,146.4969,,87.8899,43.7776,,51.6544,12.4286,98.2496,1.1838,,,95.6251,,,,129.3415,4783.1427,0,42.8166,61.6507,164.2416,23.8517,313.9268,,,16.6658,170.851,,,140.6885,49.0112,121.1084,58.4996,,18.1619,47.2157,,191.3107,,,,0,,,,14.2158,,,13.5796,0,,119.8706,738.6709,,,13.0777,,,96.7624,44.8128,2161.5385,,,,,462.3888,0.1591,,69.6773,,,162.6795,,0,,,,,
265,31/01/2002,21.4829,59.254,,224.4567,,,7.3373,343.2379,7.9425,,,14.9877,17.8439,,59.4755,129.8647,,0,182.7266,230.9497,2.6824,0.0681,73.0526,,,,,,,,0,,,,0.9636,27.9523,,19.8855,59.4267,,,,1111.5416,0,82.2272,0,183.0239,,41.8251,69.3273,,,1.8211,,55.5189,0,,11.4192,,,28.5869,94.324,42.7918,114.7795,24.2652,4.6619,142.9357,,377.5934,22.6287,583.3912,161.0946,46.8748,,,22.6166,,89.3325,4.4635,,12.6636,,2337.5888,26.9597,,,122.0858,15.8333,94.7103,,,,,,152.9987,,,79.1048,66.8785,35.2064,161.6234,,38.7403,79.8701,,1743.7622,,,115.4494,235.9953,137.7234,,,46.7103,46.9471,,105.5868,,44.338,0.9814,,,113.6586,222.5728,23.5963,,890.8004,,1.7732,95.7503,,,1059.7404,51.1289,0,8.2353,,,,,,39.5401,130.4984,282.327,82.3245,63.5743,,210.888,1.0835,19.7713,0,,,,2.4809,,2.5316,194.3182,277.9008,13.0966,8404.3748,68.7804,,6.8757,,236.1105,,0,,,912.3713,0,0,0,55.4516,,45.7182,84.1231,,9.4803,46.2188,,86.5704,60.9316,,578.2939,,40.7982,,,,,,,,,44.2942,142.3384,,,172.3077,,,,,0.2965,,,165.0537,,24.3034,,202.8488,139.8546,302.1458,,,,0,84.2438,,,0,,,72.3047,,,4.1646,,,,56.5007,,14.5102,6.0145,117.6072,52.7803,,,44.1425,39.8131,2.6376,,98.7343,,38.069,136.9258,,86.3915,68.6413,,48.4441,0,93.5589,1.0388,,,91.4246,,,,121.6736,4783.1427,0,38.5108,73.6453,152.6026,14.9877,274.8057,,,16.2905,160.3357,,,140.4152,38.915,116.1531,60.0656,,0.0147,53.0884,,208.7042,,,,0,,,,14.5273,,,3.4629,0,,115.1757,452.3921,,,0,,,96.7624,46.1527,808.7121,,,,,255.5639,0.1352,,76.8329,,,175.8051,,0,,,,,
268,30/04/2002,22.4259,59.8248,,252.8555,,,0,343.2379,7.7479,,,1.3469,8.0867,,56.8524,123.6477,,0,255.9902,229.242,0.4575,0.0456,68.6807,,,,,,,,0,,,,0.8752,27.4814,,9.3602,51.6197,,,,1111.5416,0,70.3064,0,181.5766,,41.2041,64.91,,,1.7725,,57.5052,0,,11.6532,,,28.4415,97.4954,44.8932,113.5038,20.498,4.4008,142.9357,,432.6594,21.8178,553.7869,131.8983,42.9517,,,22.0089,,84.3917,1.9783,,6.7532,,2026.1086,26.1158,,,134.6786,14.9279,30.9151,,,,,,160.6105,,,70.611,83.8796,27.9989,135.5932,,44.0572,82.3708,,1743.7622,,,112.2943,209.0669,187.7877,,,38.9573,47.5073,,101.5452,,32.9316,1.0464,,,109.4211,386.7436,24.2464,,925.5368,,1.7114,41.7043,,,1083.7844,55.1047,0,8.1799,,,,,,42.9455,111.1756,98.7876,80.901,64.6396,,365.3011,1.1161,62.91,0,,,,2.3441,,0,196.5764,280.8295,12.1348,8404.3748,70.5171,,6.9192,,130.7867,,0,,,652.93,0,0,0,50.3878,,46.4215,42.0679,,9.3116,42.9222,,82.8251,60.6542,,422.3573,,32.6555,,,,,,,,,38.4524,141.3706,,,172.3077,,,,,0.2575,,,186.5827,,0.4367,,118.8027,199.6989,312.8513,,,,4.2166,84.0849,,,0,,,55.2609,,,0,,,,55.9719,,12.271,6.1015,118.4049,45.4487,,,36.1819,34.3018,2.6376,,98.7343,,44.6201,123.7557,,95.3896,63.3278,,56.3549,0,90.0602,1.0373,,,92.1863,,,,127.5218,4783.1427,0,33.0862,120.4757,123.6072,1.3469,248.0783,,,18.8305,147.3412,,,161.4544,38.4057,105.9243,54.1573,,27.6343,52.778,,161.9173,,,,0,,,,15.055,,,3.2102,0,,108.3195,345.6928,,,0,,,96.7624,20.3161,640.1515,,,,,152.3624,0.133,,83.8919,,,175.2673,,20.4182,,,,,
