mtime,date,A,AA,AAC,AAL,AAN,AAOI,AAON,AAP,AAPL,AAT,AAWW,AAXN,ABAX,ABBV,ABC,ABCB,ABCD,ABCO,ABEO,ABG,ABM,ABMD,ABT,ABTX,AC,ACAD,ACBI,ACC,ACCO,ACET,ACGL,ACHC,ACHN,ACIA,ACIW,ACLS,ACM,ACN,ACNB,ACOR,ACRE,ACRS,ACTA,ACTG,ACXM,ADBE,ADC,ADES,ADI,ADM,ADMS,ADNT,ADP,ADRO,ADS,ADSK,ADSW,ADTN,ADUS,ADXS,AE,AEE,AEGN,AEIS,AEL,AEO,AEP,AERI,AES,AET,AF,AFAM,AFG,AFH,AFI,AFL,AFSI,AGCO,AGEN,AGFS,AGII,AGIO,AGM,AGN,AGNC,AGO,AGR,AGX,AGYS,AHH,AHL,AHP,AHT,AI,AIG,AIMC,AIMT,AIN,AIR,AIT,AIV,AIZ,AJG,AJRD,AJX,AKAM,AKAO,AKBA,AKR,AKRX,AKS,AKTS,AL,ALB,ALCO,ALDR,ALE,ALEX,ALG,ALGN,ALGT,ALJ,ALK,ALKS,ALL,ALLE,ALLY,ALNY,ALOG,ALR,ALRM,ALSN,ALX,ALXN,AMAG,AMAT,AMBA,AMBC,AMBR,AMC,AMCX,AMD,AME,AMED,AMG,AMGN,AMH,AMKR,AMN,AMNB,AMOT,AMP,AMPH,AMRC,AMRI,AMSF,AMSWA,AMT,AMTD,AMWD,AMZN,AN,ANAB,ANAT,ANCX,ANDE,ANET,ANF,ANGI,ANGO,ANH,ANIK,ANIP,ANSS,ANTM,AOBC,AON,AOS,AOSL,AP,APA,APAM,APC,APD,APEI,APH,APLE,APOG,APPF,APTI,APTS,AQMS,AR,ARA,ARAY,ARC,ARCB,ARCH,ARD,ARDX,ARE,AREX,ARI,ARII,ARMK,ARNA,ARNC,AROC,AROW,ARR,ARRS,ARRY,ARTNA,ARW,ASB,ASBB,ASC,ASCMA,ASGN,ASH,ASIX,ASMB,ASNA,ASPS,AST,ASTE,AT,ATEN,ATGE,ATH,ATHN,ATHX,ATI,ATKR,ATLO,ATNI,ATO,ATR,ATRA,ATRC,ATRI,ATRO,ATRS,ATSG,ATU,ATVI,ATW,AVA,AVAV,AVB,AVD,AVGO,AVHI,AVID,AVT,AVX,AVXL,AVXS,AVY,AWH,AWI,AWK,AWR,AXAS,AXDX,AXE,AXGN,AXL,AXON,AXP,AXS,AXTA,AXTI,AYI,AYR,AYX,AZO,AZPN,AZZ,X,XBIT,XBKS,XCRA,XEC,XEL,XENT,XHR,XL,XLNX,XLRN,XNCR,XOG,XOM,XON,XONE,XOXO,XPER,XPO,XRAY,XRX,XTLY,XYL,Y,YELP,YEXT,YORW,YRCW,YUM,YUMC,Z,ZAGG,ZAYO,ZBH,ZBRA,ZEN,ZEUS,ZG,ZGNX,ZION,ZIOP,ZIXI,ZNGA,ZOES,ZTS,ZUMZ,ZYNE
241,31/01/2000,32108900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,29/02/2000,23560800,46233829,,,,,10202583,,7319782400,,,,1788100,,37830400,196660,,,3729,,3887800,3246800,82111000,,,,,,,,3949200,,,,107522100,,,,75301,,,,3916760,,,197752000,241500,,69943600,25707985,,,35816100,,,105490000,,12840400,,,143700,6985800,2127100,4554600,,210394800,10911000,,37885000,,23245800,239200,4084800,,,69429200,,6651100,2103434,,,,235200,10604100,,,,5840,5949500,,,,,,6332873,,,857100,3139700,2530800,4630462,,3748400,3180700,,11107600,,,165848,,23033100,,,2224400,124300,,2100000,,110600,,,,26398400,46997200,69825700,,,,340200,,,,10000,21033600,1085100,624791200,,,,,,146980600,7509375,252400,3778650,197033600,,17415100,,35000,10944450,,,,3594000,,10022500,24642700,57881100,1776400,207460500,50807900,,224500,,1112400,,61788900,,,106400,1368700,259,12390400,,,22039000,4798200,,136300,38259375,,25254600,12914700,,73369600,,5104400,,,,,,,,,3569400,,,,744200,,,,,,,,631035,,19935400,,223875,21589600,6106749,,,,3454200,4759094,,,,,,3374800,,,3867200,,,,7727800,,12600,314250,5260000,5440600,,,34700,96700,570900,,,93044353,5581200,20401500,,2293154,429792,,550200,7127300,13707000,21292200,,,6054400,,,,743400,17875,,2167000,123300,227200,,169750200,,,24356800,,,,13786400,11580000,770800,16244500,,2,6691699,,8574700,,,,125155200,,,,221044200,,,4425300,,,23553900,23280125,,,92835,,,63000,,82586400,,,,,,16126875,,1009000,,,10625600,,11370500,,,,,
243,31/03/2000,41260100,44774075,,,,,6994983,,8699219200,,,,3157800,,30656000,225530,,,3715,,2759400,9459600,96185600,,,,,,,,10217700,,,,49835400,,,,73316,,,,4824610,,,254782000,265500,,72688000,41544405,,,49952700,,,137024400,,12115000,,,132800,11074200,2097500,6438300,,139383900,11312300,,59846600,,29010000,128400,4004250,,,87857600,,6061700,1332550,,,,393500,13480200,,,,11933,5727600,,,,,,7303065,,,1285400,3341800,1210275,3934158,,9910000,2811200,,16739000,,,245276,,25413100,,,4426000,75000,,1203100,,108600,,,,35227600,31043800,99652500,,,,853300,,,,101300,29428800,503800,576947000,,,,,,225673200,9380475,410000,4679700,353740000,,31517400,,30800,6548250,,,,11062200,,14804600,27105200,110287400,858000,156584700,30425800,,422100,,1608900,,32953900,,,57500,2149400,393,33283200,,,27538400,6322800,,122800,66562650,,53850400,25118600,,98297600,,2572800,,,,,,,,,1837000,,,,821700,,,,,,,,410269,,15190200,,124200,16038600,11853584,,,,5190600,8269218,,,,,,2762400,,,4798000,,,,9095800,,900,414000,2069800,5578800,,,52700,315388,777200,,,88037956,8410800,15916600,,3706107,1349127,,481100,12187800,16783600,14730000,,,10551500,,,,825900,150085,100,7892500,510500,316500,,194752500,,,10710200,,,,14960500,9405800,574800,17405200,,2,7409233,,19938600,,,,132935600,,,,279745400,,,2989300,,,23828700,41073850,,,156004,,,126000,,75286000,,,,,,29238750,,806200,,,37084400,,24217200,,,,,
244,28/04/2000,32920100,33424320,,,,,5432189,,8662752000,,,,1492500,,16099600,121401,,,1317,,1324000,2852000,73539800,,,,,,,,9351000,,,,77043900,,,,38588,,,,5497455,,,203871200,251100,,55521600,29945554,,,36806500,,,58526400,,8571800,,,43600,8281500,6257600,6375200,,178760250,10806200,,34073200,,16843800,219200,1653300,,,62507200,,5050800,783500,,,,323200,14307000,,,,21140,3252300,,,,,,4908938,,,1555700,1944400,1424475,3845702,,6034800,2483800,,35839600,,,139964,,10608300,,,3541000,47200,,836500,,92300,,,,18159600,22846800,55716400,,,,361200,,,,25100,17780400,256300,658756200,,,,,,287681400,6440175,156400,4440300,215308000,,22437900,,36400,3858900,,,,2667600,,6773400,15709800,71965900,399600,162018200,16703300,,395300,,734400,,26645700,,,80100,845900,405,8731200,,,19919200,4005000,,138000,47889072,,81190000,15322000,,100382400,,4755700,,,,,,,,,2064000,,,,644100,,,,,,,,287975,,22656600,,87525,15765400,6683556,,,,4770100,5617100,,,,,,3744100,,,4966700,,,,6466400,,900,364500,1743800,2967400,,,97900,146127,181900,,,259413470,6576000,8294000,,9652940,265760,,268900,8898700,18529800,12869000,,,8732400,,,,696600,119125,100,4293800,172100,559800,,153025200,,,2840600,,,,9683200,4606800,1737200,11912800,,2,6430599,,13285100,,,,123060300,,,,200833600,,,2008500,,,12643500,20468225,,,113396,,,46500,,62558400,,,,,,15009525,,1065200,,,21569200,,15692900,,,,,
245,31/05/2000,77267900,38751092,,,,,6261427,,9807862400,,,,1291700,,31985200,81304,,,2209,,1501000,1978200,72706000,,,,,,,,4462200,,,,41534400,,,,72434,,,,4317800,,,177688400,169800,,56504500,35248910,,,30316400,,,37753600,,8926400,,,716000,5770600,2906700,6432900,,132667650,11464500,,76689800,,30694500,180800,1889550,,,55715200,,7438000,433033,,,,536500,20034200,,,,4913,5180600,,,,,,4635548,,,1305900,1727900,1368675,2669442,,6724200,1605200,,29892500,,,145809,,9887500,,,3232800,69000,,1556000,,133800,,,,19413600,31419600,63549000,,,,261000,,,,21900,21044400,112100,774081200,,,,,,220780200,5730075,406667,5474850,147982800,,32099300,,19200,1536450,,,,1926200,,7948100,19925600,34497300,561200,130690000,20294700,,370200,,904200,,45346900,,,42200,2273100,224,7776000,,,17027600,3310200,,95700,77407176,,91786800,19711000,,201433600,,5276500,,,,,,,,,1966700,,,,1056200,,,,,,,,180782,,10693100,,155925,10906000,6712332,,,,4493700,5690100,,,,,,1744500,,,4298600,,,,8440900,,900,229250,1711800,2655000,,,34400,143110,257600,,,115090742,4728000,7135000,,3529384,528000,,232600,3579500,13804200,20221000,,,7790000,,,,734700,101235,100,5018800,35600,421900,,97935600,,,6840300,,,,11166700,6782300,1453600,18131100,,2,8730999,,11554700,,,,118191700,,,,193630800,,,1134500,,,15771600,18454450,,,179916,,,23400,,56712000,,,,,,9555975,,878100,,,9654100,,7796600,,,,,
246,30/06/2000,128323000,43162594,,,,,8165939,,8105221600,,,,571100,,32060800,114739,,,4594,,1174000,2803600,54482700,,,,,,,,5641200,,,,27627000,,,,77065,,,,5759530,,,177846400,248300,,61306600,34136597,,,35272500,,,34063600,,18573800,,,538900,10374400,4635900,8626900,,110672550,15937800,,45986900,,37857600,149800,2643000,,,50081600,,4558000,281867,,,,460000,13291500,,,,11800,4565900,,,,,,3704580,,,824000,2911800,1145700,3213399,,5655000,1923500,,54657900,,,128170,,11850100,,,3606400,117600,,1480700,,199600,,,,27358400,41342100,61543000,,,,268400,,,,32500,14157200,251000,443568600,,,,,,176392600,6619050,382400,3411900,141961800,,40230300,,93100,1836600,,,,2832200,,4360000,15545900,24390100,1053600,203140900,20309000,,777800,,1203900,,29656200,,,38600,2772300,927,4384400,,,15957800,3384000,,103200,48818154,,60506000,16115500,,116177600,,6572500,,,,,,,,,3264300,,,,682400,,,,,,,,424306,,13033200,,109800,15116900,7723815,,,,2592600,5224800,,,,,,2889800,,,2873400,,,,4829300,,900,118000,1288900,3970800,,,29600,75291,183900,,,72595164,8850800,10194100,,6594264,312400,,270600,6499300,19331800,29467200,,,6880600,,,,588900,67580,481100,8898800,55500,360200,,74918800,,,3932900,,,,12973700,8247800,8028000,17952000,,2,4571400,,7210200,,,,127080900,,,,235361600,,,801100,,,18671400,27686825,,,221569,,,75000,,65024800,,,,,,19392975,,792900,,,9080800,,9585000,,,,,
247,31/07/2000,115121500,27479969,,,,,3138117,,5746776000,,,,1049400,,27183200,295853,,,6993,,1278400,2709400,57328300,,,,,,,,2771100,,,,18153000,11332175,,,32855,,,,4515070,,,122201600,161200,,66622900,30614661,,,22470900,,,104841200,,13830200,,,160000,5763500,7846500,6639100,,122619600,14118500,,33500300,,27334500,204200,2403900,,,62753600,,3836800,400733,,,,277500,17277900,,,,9453,3387500,,,,,,3655540,,,727300,1683800,740700,5725316,,6741800,1327600,,39820200,,,68990,,8629300,,,3015000,52600,,981133,,91800,,,,18772000,12390200,47124200,,,,394400,,,,42300,12568400,1175200,578943600,,,,,,195064400,5138775,602133,3612750,161431700,,24316300,,19600,4877400,,,,3308400,,3225700,17688400,23089900,453400,198524600,13448900,,490900,,424500,,31622900,,,51600,2429900,877,8310800,,,17390900,5415000,,48000,78534687,,68771600,19850900,,101078400,,3600500,,,,,,,,,3755900,,,,441400,,,,,727370,,,214811,,9867000,,143550,9743700,6334020,,,,2226500,4028500,,,,,,3360000,,,4390800,,,,3482600,,900,193750,726700,4467600,,,51400,144834,77000,,,54115173,17234000,6582100,,4513509,268400,,133800,3966200,16110600,29347000,,,14060900,,,,561300,111820,1347700,6452100,227700,314200,,66905600,,,1882000,,,,9257700,4679200,2216800,13725700,,32,8220366,,12780900,,,,140561000,,,,204308600,,,718900,,,17370300,29138025,,,381467,,,64200,,76107600,,,,,,14416425,,256300,,,5832200,,9503600,,,,,
248,31/08/2000,91677400,24601004,,,,,2078789,,5636086400,,,,599700,,22705200,466111,,,7108,,1330400,2297400,76286600,,,,,,,,4146300,,,,9885000,5493425,,,43439,,,,3569850,,,94081200,287200,,76701600,44182084,,,26404700,,,48182800,,15918600,,,211900,7453600,3632200,9341100,,171425250,16613000,,43384300,,30993000,223800,1569000,,,60359600,,7740500,258283,,,,297400,20874800,,,,39440,3338800,,,,,,2923200,,,647700,2342000,1948725,5214627,,4349000,4511700,,47019100,,,229515,,7041100,,,5041800,340800,,1182400,,145100,,,,14198000,21166100,45295700,,,,215100,,,,30700,13733600,736600,707658200,,,,,,250322000,8094600,578667,5389650,132865200,,28092400,,60400,2439750,,,,5220100,,3622000,24864500,38485200,537600,144465700,19862600,,375600,,401100,,50396900,,,101500,2025200,663,6022400,,,17562600,4026600,,37000,59969217,,95312000,11565000,,77707200,,3462300,,,,,,,,,3612900,,,,798000,,,,,502690,,,252031,,11809700,,205200,7483900,8359065,,,,1062000,4858500,,,,,,1939600,,,4822800,,,,3580800,,900,84250,762700,3931000,,,22400,123713,310900,,,107080746,8268800,3810300,,3783352,516560,,134300,3573000,16640200,15091300,,,8189900,,,,3557400,121240,484300,9344200,63300,241400,,67908200,,,3167500,,,,12878000,12993600,1414400,16684800,,8,18402731,,23273300,,,,104723300,,,,186959200,,,659300,,,26610000,24652325,,,171710,,,86100,,68125600,,,,,,6089625,,1035500,,,9436800,,6985600,,,,,
249,29/09/2000,44178100,44671554,,,,,2460375,,14522250176,,,,558900,,31288800,203075,,,7784,,803800,2310800,66719900,,,,,,,,4176000,,,,15851700,2639775,,,53471,,,,5168390,,,189142000,217800,,66615200,54500880,,,30539600,,,28652000,,11594200,,,197400,14130600,1819300,8022200,,96967800,21651500,,42613800,,19925700,368200,2001600,,,82392800,,4187700,204667,,,,371900,38740100,,,,10993,2299300,,,,,,3262235,,,687400,2506700,1280250,2258776,,4948200,3065300,,45424100,,,285772,,5646100,,,3916400,87900,,1660933,,244500,,,,15558000,12954100,56755600,,,,251900,,,,36000,20106000,302500,565760000,,,,,,176180500,11474325,579067,6086850,150391900,,14704900,,149400,1589400,,,,5793200,,1672600,26936900,31082200,283200,133778000,11166400,,306600,,422700,,27432700,,,113700,1196700,1318,5106800,,,19702000,10159800,,88000,59257275,,75034600,16305900,,52456000,,2607700,,,,,,,,,1994700,,,,1518400,,,,,370680,,,280744,,28204300,,134325,6675900,7757145,,,,1275400,4341800,,,,,,4040700,,,4245100,,,,5723400,,900,89250,829800,3792000,,,68300,123138,124700,,,127937936,10244800,10647200,,3602803,489280,,246400,3742800,14891500,8445400,,,15888900,,,,3598200,121170,436100,4736300,84900,255900,,56963200,,,4284300,,,,9404600,6755700,1444000,14578800,,15,8451199,,26346400,,,,126615100,,,,273431600,,,840000,,,15488400,27723550,,,110039,,,47700,,53475200,,,,,,9488700,,506100,,,13166400,,6325700,,,,,
250,31/10/2000,67460300,43223722,,,,,4096069,,21906376800,,,,1111900,,56803200,106103,,,7421,,1046600,4408800,95508800,,,,,,,,1660500,,,,13575300,4221025,,,46526,,,,6177465,,,221126600,136000,,108507100,42617715,,,38116700,,,46426400,,16131400,,,94200,8602800,1938000,25323100,,72784800,20594600,,60909800,,36310200,322200,2199300,,,93400000,,5580900,229667,,,,270000,16343700,,,,3353,3606100,,,,,,4326925,,,1579300,2975500,648675,2745340,,6039200,2239100,,74146400,,,189332,,5401300,,,3768400,54200,,828167,,194300,,,,26346800,12482200,71416900,,,,412600,,,,45100,30574800,187100,942114800,,,,,,223977000,9994050,614400,4999350,203760100,,19725200,,143300,1122300,,,,11018400,,1549700,23312100,26185100,303000,246735400,21585600,,322300,,340500,,28900600,,,63300,1116300,2378,5472800,,,18496600,6850200,,183800,85718325,,96833800,19390900,,69921600,,2088900,,,,,,,,,1867400,,,,947000,,,,,237790,,,442171,,35221700,,88200,16363400,7003590,,,,2012500,6147900,,,,,,5871700,,,4875100,,,,3257300,,900,145500,830500,5963000,,,13400,145536,223400,,,94207153,7172800,5156500,,3046784,338800,,129600,5117000,18406500,12099200,,,14571200,,,,1551600,77860,616400,9249900,123200,306100,,99649300,,,6764600,,,,11295000,6578400,892000,15813400,,15,8513466,,19488300,,,,265891504,,,,277298000,,,778600,,,16525500,70500950,,,230770,,,60300,,59408800,,,,,,16874100,,1846700,,,13344400,,8463200,,,,,
