date,commodities,cpi,real_rate,ip,credit,retail_sales
01/01/1997,61.61889081,167.8,,79.8273,,169471
01/02/1997,58.68050783,168.1,,80.793,,170821
01/03/1997,57.85894365,168.4,,81.334,2.84,171928
01/04/1997,56.00153536,168.9,,81.3531,2.94,170754
01/05/1997,57.38913043,169.2,,81.8293,2.68,170738
01/06/1997,55.02096263,169.4,,82.2285,2.67,171991
01/07/1997,54.45357352,169.7,,82.8557,2.71,173448
01/08/1997,54.72249853,169.8,,83.7214,2.59,173821
01/09/1997,54.8120838,170.2,,84.4651,2.59,174978
01/10/1997,55.48311044,170.6,,85.1918,2.99,174980
01/11/1997,54.34884187,170.8,,85.9397,2.9,175126
01/12/1997,53.08117945,171.2,,86.2047,2.96,175418
01/01/1998,50.16678178,171.6,,86.6474,3,176093
01/02/1998,49.58411855,171.9,,86.7612,2.87,176843
01/03/1998,48.88751751,172.2,,86.8198,2.83,176948
01/04/1998,49.93166227,172.5,,87.1411,2.98,178522
01/05/1998,49.74143219,172.9,,87.6952,3.18,179193
01/06/1998,47.56337499,173.2,,87.145,3.37,179707
01/07/1998,46.64416755,173.5,,86.8423,3.38,181091
01/08/1998,45.22239813,174,,88.6247,5.2,181382
01/09/1998,46.05752019,174.2,,88.4515,5.95,181354
01/10/1998,45.78721755,174.4,,89.1677,6.52,183255
01/11/1998,45.16608954,174.8,,89.1098,5.44,184474
01/12/1998,42.92498375,175.4,,89.4407,5.66,186057
01/01/1999,43.77070054,175.6,,89.8594,5.6,186333
01/02/1999,42.01254255,175.6,,90.3386,5.21,188260
01/03/1999,42.98270129,175.7,,90.4819,5.19,189026
01/04/1999,45.67581915,176.3,,90.7274,4.76,190327
01/05/1999,46.51315269,176.5,,91.352,4.75,191524
01/06/1999,45.98152059,176.6,,91.1994,4.87,191997
01/07/1999,47.50403201,177.1,,91.7766,4.66,192947
01/08/1999,49.75448172,177.3,,92.1629,4.9,194517
01/09/1999,51.77346377,177.8,,91.774,5.07,196167
01/10/1999,52.5319086,178.1,,92.9979,5.13,197299
01/11/1999,53.28369665,178.4,,93.4371,4.91,198696
01/12/1999,54.00693285,178.7,,94.1593,4.76,203954
01/01/2000,55.57242125,179.3,,94.1758,4.87,200365
01/02/2000,58.04272406,179.4,,94.4557,5.08,202935
01/03/2000,58.4873001,180,,94.798,5.75,206759
01/04/2000,56.45513993,180.3,,95.4808,5.88,205234
01/05/2000,59.40405959,180.7,,95.6435,6.16,205613
01/06/2000,61.32212176,181.1,,95.7353,6.17,206784
01/07/2000,59.84557021,181.5,,95.5906,6.26,207425
01/08/2000,60.7517604,181.9,,95.3112,6.43,207607
01/09/2000,63.58180034,182.3,,95.679,6.77,210698
01/10/2000,62.86248778,182.6,,95.397,7.79,210719
01/11/2000,63.93272978,183.1,,95.4229,9.06,211384
01/12/2000,64.4362742,183.3,,95.1573,9.16,212267
01/01/2001,63.94519649,183.9,,94.5448,7.87,212908
01/02/2001,60.9836462,184.4,,93.9398,7.7,212585
01/03/2001,59.03349373,184.7,,93.7201,8.18,210779
01/04/2001,59.39488624,185.1,,93.4469,8.06,213875
01/05/2001,59.98114721,185.3,,92.876,7.68,214457
01/06/2001,58.42783982,186,,92.3208,8.16,213691
01/07/2001,55.89891353,186.4,,91.7933,8.27,213437
01/08/2001,56.12908133,186.7,,91.6795,8.05,215063
01/09/2001,54.0407974,187.1,,91.3289,10.18,212155
01/10/2001,50.39467207,187.4,,90.9315,9.61,214085
01/11/2001,48.17284438,188.1,,90.486,8.39,214698
01/12/2001,47.89734743,188.4,,90.5073,8.24,215485
01/01/2002,48.53212988,188.7,,91.0794,7.89,215843
01/02/2002,49.54935924,189.1,,91.0553,8.19,216886
01/03/2002,53.97306655,189.2,,91.798,7.08,217692
01/04/2002,55.78068389,189.7,,92.1771,6.88,220582
01/05/2002,55.93849118,190,,92.5668,7.28,219889
01/06/2002,54.93538747,190.2,,93.4476,8.75,220018
01/07/2002,56.43252603,190.5,,93.2237,9.71,220441
01/08/2002,56.68058085,191.1,,93.2359,9.61,220446
01/09/2002,58.92620234,191.3,,93.3654,10.33,220344
01/10/2002,60.10425271,191.5,,93.0834,10.59,222023
01/11/2002,58.0255436,191.9,,93.5693,8.83,223553
01/12/2002,61.33214188,192.1,,93.1103,8.9,224153
01/01/2003,65.33934539,192.4,1.65,93.8198,8.29,225575
01/02/2003,70.34548208,192.5,1.24,93.9532,8.38,224632
01/03/2003,65.82764091,192.5,1.09,93.7358,7.72,227697
01/04/2003,61.86621248,192.5,1.36,93.0657,6.44,226020
01/05/2003,63.06104329,192.9,1.18,93.0918,6.79,226750
01/06/2003,64.35933016,193,0.91,93.2476,6.13,229301
01/07/2003,63.28487976,193.4,1.3,93.6582,5.67,231698
01/08/2003,64.43682376,193.6,1.48,93.5246,5.46,234890
01/09/2003,64.49912902,193.7,1.29,94.0751,5.51,234749
01/10/2003,67.45470282,194,1.21,94.2079,4.73,234992
01/11/2003,67.38191462,194,1.27,94.9338,4.48,236789
01/12/2003,70.50630786,194.2,1.23,94.8662,4.18,237304
01/01/2004,73.12335658,194.6,1.09,95.1085,4.05,239984
01/02/2004,72.8798439,194.9,0.86,95.6847,4.34,240300
01/03/2004,75.53267179,195.5,0.52,95.2088,4.41,244775
01/04/2004,76.47527806,195.9,1.02,95.6385,3.91,243552
01/05/2004,79.74469917,196.2,1.34,96.3966,4.28,246143
01/06/2004,78.38823661,196.6,1.41,95.6019,4.1,245967
01/07/2004,79.72348533,196.8,1.29,96.3385,4.02,247311
01/08/2004,80.96042718,196.9,1.12,96.4095,4.06,247612
01/09/2004,80.59264123,197.5,1.1,96.4907,3.83,249840
01/10/2004,86.39391127,197.9,0.97,97.4094,3.63,252882
01/11/2004,83.72538321,198.3,0.9,97.6137,3.17,254429
01/12/2004,82.56794135,198.6,0.92,98.3318,3.1,256487
01/01/2005,85.42657614,199,1.13,98.7845,3.29,256613
01/02/2005,87.44429074,199.4,1.08,99.4639,2.83,259253
01/03/2005,94.52095785,200.1,1.29,99.3061,3.52,259434
01/04/2005,94.07298195,200.2,1.23,99.4734,4.19,262934
01/05/2005,91.60427818,200.5,1.28,99.6033,4.13,261297
01/06/2005,95.4697098,200.6,1.39,99.9853,3.85,264359
01/07/2005,97.84787112,200.9,1.67,99.6692,3.3,264971
01/08/2005,103.8045735,201.1,1.71,99.9435,3.66,269520
01/09/2005,107.6872283,201.3,1.4,98.0779,3.54,273329
01/10/2005,107.1785056,202,1.7,99.3149,3.61,276244
01/11/2005,101.1961283,202.5,1.97,100.3216,3.67,274114
01/12/2005,106.182002,202.8,2.09,100.9437,3.71,274073
01/01/2006,107.9057605,203.2,1.93,101.0627,3.42,280574
01/02/2006,106.1100578,203.6,1.98,101.0669,3.37,280598
01/03/2006,106.8264323,204.3,2.09,101.2751,3.13,281056
01/04/2006,115.6985653,204.8,2.26,101.6813,3.04,282525
01/05/2006,119.8921875,205.4,2.3,101.579,3.12,282623
01/06/2006,117.2275876,205.9,2.45,101.9693,3.35,282510
01/07/2006,121.713228,206.3,2.46,101.9319,3.45,283042
01/08/2006,122.4110348,206.8,2.27,102.3327,3.49,285504
01/09/2006,112.6128666,207.2,2.38,102.1252,3.44,284382
01/10/2006,110.8024852,207.6,2.51,102.0668,3.29,283015
01/11/2006,113.4407852,207.8,2.41,101.9688,3.2,283202
01/12/2006,115.550687,208.1,2.28,103.0292,2.89,288292
