Date,ind_pdtion,us_2y
31/01/2021,107.1843,0.1093
31/12/2020,106.1981,0.1211
30/11/2020,104.8525,0.1485
31/10/2020,103.9494,0.1525
30/09/2020,102.7766,0.127
31/08/2020,102.8885,0.1309
31/07/2020,101.9086,0.1054
30/06/2020,97.8019,0.1485
31/05/2020,92.0613,0.1603
30/04/2020,91.2658,0.1956
31/03/2020,104.5221,0.2455
29/02/2020,109.2966,0.913
31/01/2020,109.1845,1.3132
31/12/2019,109.6527,1.5691
30/11/2019,110.0388,1.6119
31/10/2019,109.027,1.5239
30/09/2019,109.4725,1.6217
31/08/2019,109.8543,1.504
31/07/2019,109.0852,1.8721
30/06/2019,109.2774,1.7549
31/05/2019,109.2264,1.9221
30/04/2019,108.9888,2.2661
31/03/2019,109.6811,2.26
28/02/2019,109.5631,2.5141
31/01/2019,110.1185,2.4576
31/12/2018,110.5516,2.4878
30/11/2018,110.5067,2.7865
31/10/2018,109.9165,2.8669
30/09/2018,109.6749,2.8188
31/08/2018,109.5246,2.6269
31/07/2018,108.652,2.6694
30/06/2018,108.1707,2.5282
31/05/2018,107.3639,2.4274
30/04/2018,108.2223,2.4879
31/03/2018,107.2519,2.2661
28/02/2018,106.6419,2.25
31/01/2018,106.2655,2.1406
31/12/2017,106.536,1.883
30/11/2017,106.193,1.782
31/10/2017,105.6287,1.5997
30/09/2017,104.0502,1.4827
31/08/2017,104.0475,1.3255
31/07/2017,104.5427,1.3491
30/06/2017,104.5849,1.3817
31/05/2017,104.4129,1.2818
30/04/2017,104.2721,1.2619
31/03/2017,103.343,1.254
28/02/2017,102.6479,1.2601
31/01/2017,103.0366,1.2044
31/12/2016,102.9281,1.1883
30/11/2016,102.0507,1.113
31/10/2016,102.2485,0.8409
30/09/2016,102.0477,0.7619
31/08/2016,102.0407,0.8053
31/07/2016,102.1325,0.6554
30/06/2016,101.8747,0.5817
31/05/2016,101.4298,0.877
30/04/2016,101.5167,0.7816
31/03/2016,101.4155,0.7211
29/02/2016,102.2225,0.7737
31/01/2016,102.9525,0.7737
31/12/2015,102.1014,1.0477
30/11/2015,102.6866,0.9304
31/10/2015,103.3976,0.724
30/09/2015,103.7768,0.6289
31/08/2015,104.1621,0.7375
31/07/2015,104.3243,0.6606
30/06/2015,103.7174,0.6427
31/05/2015,104.0742,0.6053
30/04/2015,104.5272,0.567
31/03/2015,105.1464,0.5551
