DATE,INDPRO,CPIAUCSL
1998-01-31,84.3218,162.0
1998-02-28,84.4583,162.0
1998-03-31,84.488,162.0
1998-04-30,84.7779,162.2
1998-05-31,85.3367,162.6
1998-06-30,84.8248,162.8
1998-07-31,84.4986,163.2
1998-08-31,86.248,163.4
1998-09-30,86.2021,163.5
1998-10-31,86.7914,163.9
1998-11-30,86.7256,164.1
1998-12-31,87.1185,164.4
1999-01-31,87.4949,164.7
1999-02-28,88.027,164.7
1999-03-31,88.2267,164.8
1999-04-30,88.4295,165.9
1999-05-31,88.9886,166.0
1999-06-30,88.9188,166.0
1999-07-31,89.4333,166.7
1999-08-31,89.7924,167.1
1999-09-30,89.4299,167.8
1999-10-31,90.523,168.1
1999-11-30,90.9618,168.4
1999-12-31,91.6634,168.8
2000-01-31,91.538,169.3
2000-02-29,91.8239,170.0
2000-03-31,92.1504,171.0
2000-04-30,92.6989,170.9
2000-05-31,92.9499,171.2
2000-06-30,92.9862,172.2
2000-07-31,92.8048,172.7
2000-08-31,92.5521,172.7
2000-09-30,92.9792,173.6
2000-10-31,92.6179,173.9
2000-11-30,92.6438,174.2
2000-12-31,92.3415,174.6
2001-01-31,91.902,175.6
2001-02-28,91.3034,176.0
2001-03-31,91.1162,176.1
2001-04-30,90.7891,176.4
2001-05-31,90.3555,177.3
2001-06-30,89.8784,177.7
2001-07-31,89.3028,177.4
2001-08-31,89.2003,177.4
2001-09-30,88.7485,178.1
2001-10-31,88.5052,177.6
2001-11-30,87.97,177.5
2001-12-31,87.9324,177.4
2002-01-31,88.5176,177.7
2002-02-28,88.5278,178.0
2002-03-31,89.1686,178.5
2002-04-30,89.604,179.3
2002-05-31,89.964,179.5
2002-06-30,90.7061,179.6
2002-07-31,90.6769,180.0
2002-08-31,90.5762,180.5
2002-09-30,90.6531,180.8
2002-10-31,90.4643,181.2
2002-11-30,90.9711,181.5
2002-12-31,90.4652,181.8
2003-01-31,91.2361,182.6
2003-02-28,91.3445,183.6
2003-03-31,91.1044,183.9
2003-04-30,90.5617,183.2
2003-05-31,90.537,182.9
2003-06-30,90.6527,183.1
