ticker,name,sector
AAMI,Acadian Asset Management Inc.,Financials
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary
AAT,American Assets Trust,Real Estate
ABCB,Ameris Bancorp,Financials
ABG,Asbury Automotive Group,Consumer Discretionary
ABM,"ABM Industries, Inc.",Industrials
ABR,Arbor Realty Trust,Financials
ACA,"Arcosa, Inc.",Industrials
ACAD,Acadia Pharmaceuticals,Health Care
ACHC,Acadia Healthcare,Health Care
ACIW,ACI Worldwide,Information Technology
ACLS,"Axcelis Technologies, Inc.",Information Technology
ACMR,"ACM Research, Inc.",Information Technology
ACT,"Enact Holdings, Inc.",Financials
ADAM,"Adamas Trust, Inc.",Real Estate
ADEA,"Adeia, Inc.",Information Technology
ADMA,"ADMA Biologics, Inc.",Health Care
ADNT,Adient,Consumer Discretionary
ADT,ADT Inc.,Consumer Discretionary
ADUS,Addus HomeCare Corp.,Health Care
AEO,American Eagle Outfitters,Consumer Discretionary
AESI,"Atlas Energy Solutions, Inc.",Energy
AGO,Assured Guaranty Ltd.,Financials
AGX,"Argan, Inc.",Industrials
AGYS,"Agilysys, Inc.",Information Technology
AHCO,AdaptHealth Corp.,Health Care
AIN,Albany International Corp.,Industrials
AIR,AAR CORP.,Industrials
AKR,Acadia Realty Trust,Real Estate
ALG,Alamo Group,Industrials
ALGT,Allegiant Travel Company,Industrials
ALHC,"Alignment Healthcare, Inc.",Health Care
ALKS,Alkermes plc,Health Care
ALRM,"Alarm.Com, Inc.",Financials
AMN,"Amn Healthcare Services, Inc.",Health Care
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care
AMR,"Alpha Metallurgical Resources, Inc.",Materials
AMRX,Amneal Pharmaceuticals,Health Care
AMSF,"Amerisafe, Inc.",Financials
AMTM,Amentum,Industrials
AMWD,American Woodmark Corp.,Industrials
ANDE,"The Andersons, Inc.",Consumer Staples
ANIP,"ANI Pharmaceuticals, Inc.",Health Care
AORT,Artivion,Health Care
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology
APAM,"Artisan Partners Asset Management, Inc.",Financials
APLE,"Apple Hospitality REIT, Inc.",Real Estate
APOG,"Apogee Enterprises, Inc.",Industrials
ARCB,ArcBest Corp.,Industrials
ARI,Apollo Commercial Real Estate Finance,Real Estate
ARLO,Arlo Technologies,Information Technology
AROC,"Archrock, Inc.",Energy
ARR,Armour Residential REIT,Real Estate
EFOR,Everforth Inc.,Information Technology
ASO,Academy Sports + Outdoors,Consumer Discretionary
ASTE,"Astec Industries, Inc.",Industrials
ASTH,"Astrana Health, Inc.",Health Care
ATEN,"A10 Networks, Inc.",Information Technology
ATMU,Atmus Filtration Technologies Inc.,Industrials
AUB,"Atlantic Union Bankshares, Corp.",Financials
AVA,Avista Corporation,Utilities
AVNS,"Avanos Medical, Inc.",Health Care
AWI,"Armstrong World Industries, Inc.",Industrials
AWR,American States Water Company,Utilities
AX,"Axos Financial, Inc.",Financials
AZTA,"Azenta, Inc.",Health Care
AZZ,"AZZ, Inc.",Industrials
BANC,"Banc Of California, Inc.",Financials
BANF,Bancfirst Corp,Financials
BANR,Banner Corporation,Financials
BBT,Beacon Financial Corp.,Financials
BCC,Boise Cascade,Industrials
BCPC,Balchem Corporation,Materials
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary
BFH,"Bread Financial Holdings, Inc.",Financials
BFS,"Saul Centers, Inc.",Real Estate
BGC,"BGC Group, Inc.",Financials
BHE,"Benchmark Electronics, Inc.",Information Technology
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary
BKE,"The Buckle, Inc.",Consumer Discretionary
BKU,"BankUnited, Inc.",Financials
BL,"BlackLine Systems, Inc.",Information Technology
BLFS,"BioLife Solutions, Inc.",Health Care
BMI,"Badger Meter, Inc.",Information Technology
BNL,"Broadstone Net Lease, Inc.",Real Estate
BOH,Bank of Hawaii,Financials
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary
BOX,"Box, Inc.",Information Technology
BRC,Brady Corporation,Industrials
BTSG,"BrightSpring Health Services, Inc.",Health Care
BTU,"Peabody Energy, Inc.",Energy
BXMT,"Blackstone Mortgage Trust, Inc.",Financials
CABO,Cable One,Communication Services
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary
CALM,"Cal-Maine Foods, Inc.",Consumer Staples
CALX,Calix,Information Technology
CALY,Callaway Golf Company,Consumer Discretionary
CARG,CarGurus,Communication Services
CASH,"Pathward Financial, Inc.",Financials
CATY,Cathay General Bancorp,Financials
CBRL,Cracker Barrel,Consumer Discretionary
CBU,"Community Bank System, Inc.",Financials
CC,Chemours,Materials
CCOI,"Cogent Communications Holdings, Inc.",Communication Services
CCS,"Century Communities, Inc.",Consumer Discretionary
CE,Celanese,Materials
CENT,Central Garden & Pet Company,Consumer Staples
CENTA,Central Garden & Pet Company (Class A),Consumer Staples
CENX,Century Aluminum Company,Materials
CERT,"Certara, Inc.",Health Care
CFFN,Capitol Federal Savings Bank,Financials
CHCO,City Holding Company,Financials
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples
CLB,Core Laboratories,Energy
CLSK,"CleanSpark, Inc.",Information Technology
CNK,"Cinemark Holdings, Inc.",Communication Services
CNMD,CONMED Corporation,Health Care
CNR,"Core Natural Resources, Inc.",Energy
CNS,"Cohen & Steers, Inc.",Financials
CNXN,"PC Connection, Inc.",Information Technology
COCO,The Vita Coco Company,Consumer Staples
COHU,"Cohu, Inc.",Information Technology
COLL,"Collegium Pharmaceutical, Inc.",Health Care
CON,"Concentra Group Holdings Parent, Inc.",Health Care
CORT,Corcept Therapeutics Incorporated,Health Care
CPF,Central Pacific Financial Corp.,Financials
CPK,Chesapeake Utilities Corp.,Utilities
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care
CRC,California Resources Corporation,Energy
CRGY,Crescent Energy Company,Energy
CRI,"Carter's, Inc.",Consumer Discretionary
CRK,"Comstock Resources, Inc.",Energy
CRSR,Corsair Gaming,Information Technology
CRVL,CorVel Corporation,Health Care
CSR,Centerspace Trust,Real Estate
CSW,"CSW Industrials, Inc.",Industrials
CTKB,"Cytek Biosciences, Inc.",Health Care
CTS,CTS Corporation,Information Technology
CUBI,"Customers Bancorp, Inc.",Financials
CURB,Curbline Properties Corp.,Real Estate
CVBF,CVB Financial Corp.,Financials
CVCO,"Cavco Industries, Inc.",Consumer Discretionary
CVI,"CVR Energy, Inc.",Energy
CVSA,Covista Inc.,Consumer Discretionary
CWEN,"Clearway Energy, Inc. (Class C)",Utilities
CWEN-A,"Clearway Energy, Inc. (Class A)",Utilities
CWK,Cushman & Wakefield plc,Real Estate
CWST,"Casella Waste Systems, Inc.",Industrials
CWT,California Water Service Group,Utilities
CXM,"Sprinklr, Inc.",Information Technology
CXW,CoreCivic,Industrials
CZR,Caesars Entertainment,Consumer Discretionary
DAN,Dana Incorporated,Consumer Discretionary
DBD,Diebold Nixdorf,Information Technology
DCH,Dauch Corporation,Consumer Discretionary
DCOM,"Dime Community Bancshares, Inc.",Financials
DEA,"Easterly Government Properties, Inc.",Real Estate
DEI,Douglas Emmett,Real Estate
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary
DFIN,"Donnelley Financial Solutions, Inc.",Financials
DGII,Digi International Inc.,Information Technology
DIOD,Diodes Incorporated,Information Technology
DLX,Deluxe Corporation,Industrials
DNOW,NOW Inc,Industrials
DORM,"Dorman Products, Inc.",Consumer Discretionary
DRH,DiamondRock Hospitality Company,Real Estate
DV,"DoubleVerify Holdings, Inc.",Communication Services
